SampleID	SampleName
112474	A0
112475	B0
112476	C0
112477	D0
112478	E0
112479	F0
112480	G0
112481	A1
112482	B1
112483	C1
112484	D1
112485	E1
112486	F1
112487	G1
112488	A2
112489	B2
112490	C2
112491	D2
112492	E2
112493	F2
112494	G2
112495	B4
112496	C4
112497	E4
112498	F4
112499	G4
112500	A8
112501	B8
112502	D8
112503	E8
112504	F8
112505	G8
112506	A16
112507	B16
112508	C16
112509	D16
112510	E16
112511	F16
112512	G16
112513	C24
112514	D24
112515	E24
112516	A36
112517	B36
112518	C36
112519	D36
112520	E36
112521	F36
112522	G36
112523	Adec2
112524	Bdec2a
112525	Bdec2b
112526	Cdec2,3
112527	Ddec2
112528	Hdec1
112529	Hdec2
112530	Idec1
112531	Jdec1
112532	Kdec1
112533	Kdec2
112534	Mdec1,2
112535	Ndec2
112536	Odec1
112537	Qdec1,2
112538	Pdec2
